Overall,first_name,last_name,full_name,image,country,flag,affiliate,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_12 curve,event_12_TB,event_13,event_14,event_15,event_1_rank,event_2_rank,event_3_rank,event_4_rank,event_5_rank,event_6_rank,event_7_rank,event_8_rank,event_9_rank,event_10_rank,event_11_rank,event_12_rank,event_13_rank,event_14_rank,event_15_rank,event_1_score,event_2_score,event_3_score,event_4_score,event_5_score,event_6_score,event_7_score,event_8_score,event_9_score,event_10_score,event_11_score,event_12_score,event_13_score,event_14_score,event_15_score,total_score,Event_1_race,Event_2_race,Event_3_race,Event_4_race,Event_5_race,Event_6_race,Event_7_race,Event_8_race,Event_9_race,Event_10_race,Event_11_race,Event_12_race,Event_13_race,Event_14_race,Event_15_race,Vlookup_position,score_80_ATHLETES,score_60_ATHLETES,score_40_ATHLETES
67,Michelle,Basnett,Michelle Basnett,https://profilepicsbucket.crossfit.com/3651c-P893554_2-184.jpg,South Africa,https://assets.crossfit.com/build/img/sites/games/country-flags/za.svg,CrossFit Cornelius,14:38.1,11:45.8,01:42.4,20:35.3,CAP+01,CAP+01,06:53.5,04:30.6,05:41.1,,,,,,,,,34,51,72,55,65,36,42,42,61,0,0,0,0,0,0,101,59,17,51,31,95,77,77,39,0,0,0,0,0,0,547,101,160,177,228,259,354,431,508,547,547,547,547,547,547,547,66,29,,
67,Caroline,Conners,Caroline Conners,https://profilepicsbucket.crossfit.com/93573-P314703_4-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit MF,26:41.5,CAP+06,01:36.8,19:38.2,14:09.2,CAP+00,06:32.5,CAP+04,05:49.5,,,,,,,,,73,70,68,48,59,32,30,53,65,0,0,0,0,0,0,15,21,25,65,43,107,113,55,31,0,0,0,0,0,0,475,15,36,61,126,169,276,389,444,475,475,475,475,475,475,475,67,27,,
68,Seungyeon,Choi,Seungyeon Choi,https://profilepicsbucket.crossfit.com/e8e28-P1346810_2-184.jpg,"Korea, Republic of",https://assets.crossfit.com/build/img/sites/games/country-flags/kr.svg,CrossFit Limelight,43:14.4,CAP+12,01:38.5,18:34.9,CAP+145,CAP+01,07:34.5,CAP+43,05:00.8,,,,,,,,,74,73,71,38,70,36,51,66,47,0,0,0,0,0,0,13,15,19,89,21,95,59,29,67,0,0,0,0,0,0,407,13,28,47,136,157,252,311,340,407,407,407,407,407,407,407,68,25,,
69,Adrian,Mundwiler,Adrian Mundwiler,https://profilepicsbucket.crossfit.com/ff2d6-P698182_6-184.jpg,Switzerland,https://assets.crossfit.com/build/img/sites/games/country-flags/ch.svg,,15:45.3,09:31.1,01:24.0,20:57.0,14:32.4,CAP+02,,,,,,,,,,,,42,22,33,57,62,57,0,0,0,0,0,0,0,0,0,77,137,104,47,37,47,0,0,0,0,0,0,0,0,0,449,77,214,318,365,402,449,449,449,449,449,449,449,449,449,449,69,23,,
70,Sean,Sweeney,Sean Sweeney,https://profilepicsbucket.crossfit.com/a0a86-P134617_10-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Powerstroke,12:40.8,11:29.8,01:20.8,CAP+01,CAP+073,,,,,,,,,,,,,21,50,27,60,69,0,0,0,0,0,0,0,0,0,0,140,61,122,41,23,0,0,0,0,0,0,0,0,0,0,387,140,201,323,364,387,387,387,387,387,387,387,387,387,387,387,70,21,,
71,Dani,Speegle,Dani Speegle,https://profilepicsbucket.crossfit.com/47a8d-P670000_4-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Invictus,17:37.1,11:06.0,01:29.1,17:16.4,CAP+054,,,,,,,,,,,,,55,45,45,31,68,0,0,0,0,0,0,0,0,0,0,51,71,71,110,25,0,0,0,0,0,0,0,0,0,0,328,51,122,193,303,328,328,328,328,328,328,328,328,328,328,328,71,19,,
72,Sam,Stewart,Sam Stewart,https://profilepicsbucket.crossfit.com/c641b-P6346_7-184.jpg,Ireland,https://assets.crossfit.com/build/img/sites/games/country-flags/ie.svg,CrossFit C2F,19:08.2,CAP+03,01:17.7,CAP+81,,,,,,,,,,,,,,61,65,9,73,0,0,0,0,0,0,0,0,0,0,0,39,31,176,15,0,0,0,0,0,0,0,0,0,0,0,261,39,70,246,261,261,261,261,261,261,261,261,261,261,261,261,72,17,,
73,Kara,Saunders,Kara Saunders,https://profilepicsbucket.crossfit.com/5ca2a-P2942_14-184.jpg,Australia,https://assets.crossfit.com/build/img/sites/games/country-flags/au.svg,CrossFit Carv,16:36.0,CAP+03,01:50.1,CAP+01,,,,,,,,,,,,,,46,65,73,60,0,0,0,0,0,0,0,0,0,0,0,69,31,15,41,0,0,0,0,0,0,0,0,0,0,0,156,69,100,115,156,156,156,156,156,156,156,156,156,156,156,156,73,15,,
74,Aleksandar,Ilin,Aleksandar Ilin,https://profilepicsbucket.crossfit.com/757ae-P1325298_5-184.jpg,Russian Federation,https://assets.crossfit.com/build/img/sites/games/country-flags/ru.svg,CrossFit FormA,15:17.5,11:07.4,,,,,,,,,,,,,,,,38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,89,69,0,0,0,0,0,0,0,0,0,0,0,0,0,158,89,158,158,158,158,158,158,158,158,158,158,158,158,158,158,74,13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1,,
