Overall,first_name,last_name,full_name,image,country,flag,affiliate,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_12 curve,event_12_TB,event_13,event_14,event_15,event_1_rank,event_2_rank,event_3_rank,event_4_rank,event_5_rank,event_6_rank,event_7_rank,event_8_rank,event_9_rank,event_10_rank,event_11_rank,event_12_rank,event_13_rank,event_14_rank,event_15_rank,event_1_score,event_2_score,event_3_score,event_4_score,event_5_score,event_6_score,event_7_score,event_8_score,event_9_score,event_10_score,event_11_score,event_12_score,event_13_score,event_14_score,event_15_score,total_score,Event_1_race,Event_2_race,Event_3_race,Event_4_race,Event_5_race,Event_6_race,Event_7_race,Event_8_race,Event_9_race,Event_10_race,Event_11_race,Event_12_race,Event_13_race,Event_14_race,Event_15_race,Vlookup_position,score_80_ATHLETES,score_60_ATHLETES,score_40_ATHLETES
16,Scott,Panchik,Scott Panchik,https://profilepicsbucket.crossfit.com/e23e0-P34796_8-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Mentality,15:20.6,08:16.3,01:33.6,13:39.6,12:12.9,CAP+02,06:33.8,02:05.2,04:19.5,25:40.1,253,280,280,00:18.2,11:08.0,CAP+07,07:16.2,39,3,63,1,10,57,31,3,29,55,7,19,28,11,9,86,194,35,200,173,47,110,194,116,13,170,110,65,150,160,1823,86,280,315,515,688,735,845,1039,1155,1168,1338,1448,1513,1663,1823,16,155,140,125
17,Travis,Mayer,Travis Mayer,https://profilepicsbucket.crossfit.com/9de68-P1690_5-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit UNTD,12:40.2,11:25.4,01:18.8,19:50.5,12:22.3,05:51.3,07:02.8,03:15.4,03:40.1,21:58.0,184,275,275,00:12.3,04:55.4,CAP+32,07:15.9,20,48,17,50,17,5,45,19,4,18,29,21,13,35,8,143,65,152,61,152,188,71,146,191,132,60,100,140,30,165,1796,143,208,360,421,573,761,832,978,1169,1301,1361,1461,1601,1631,1796,17,152,136,120
18,Cole,Sager,Cole Sager,https://profilepicsbucket.crossfit.com/ce316-P153625_5-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Spokane Valley,13:22.1,09:13.8,01:22.0,17:13.7,12:18.3,CAP+01,CAP+01,04:07.1,04:02.1,21:28.2,276,225,225,00:13.4,04:55.4,CAP+23,07:36.5,27,17,28,30,13,36,53,36,21,6,1,38,12,28,20,122,152,119,113,164,95,55,95,140,180,200,15,145,65,105,1765,122,274,393,506,670,765,820,915,1055,1235,1435,1450,1595,1660,1765,18,149,132,115
19,Andre,Houdet,Andre Houdet,https://profilepicsbucket.crossfit.com/6f899-P371085_6-184.jpg,Denmark,https://assets.crossfit.com/build/img/sites/games/country-flags/dk.svg,CrossFit Butcher's Lab,13:14.1,09:26.5,01:16.8,16:49.3,12:56.7,CAP+01,06:04.1,04:40.6,03:49.1,23:18.2,201,285,285,00:14.1,07:56.1,CAP+16,08:08.7,26,19,5,21,33,36,19,45,10,33,25,11,22,23,30,125,146,188,140,104,95,146,71,173,79,80,150,95,90,55,1737,125,271,459,599,703,798,944,1015,1188,1267,1347,1497,1592,1682,1737,19,146,128,110
20,Kristi Eramo,O'Connell,Kristi Eramo O'Connell,https://profilepicsbucket.crossfit.com/f3a4c-P310687_4-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Polaris,10:54.6,11:02.2,01:27.5,17:30.6,12:14.2,05:45.9,05:33.3,04:14.3,06:01.8,21:13.9,207,160,244,,11:40.9,CAP+07,07:31.5,7,43,41,34,12,3,8,38,67,3,21,37,37,11,17,182,75,80,101,167,194,179,89,27,192,100,20,20,150,120,1696,182,257,337,438,605,799,978,1067,1094,1286,1386,1406,1426,1576,1696,20,143,124,105
21,Bayden,Brown,Bayden Brown,https://profilepicsbucket.crossfit.com/men-square.jpg,Australia,https://assets.crossfit.com/build/img/sites/games/country-flags/au.svg,CrossFit Townsville,11:35.1,09:39.3,01:19.4,19:11.4,12:57.4,05:46.6,06:04.9,04:31.6,03:55.1,21:14.8,161,225,225,CAP+00,08:00.2,CAP+17,07:32.4,11,24,23,45,34,4,20,43,14,4,33,40,24,24,19,170,131,134,71,101,191,143,75,161,188,40,5,85,85,110,1690,170,301,435,506,607,798,941,1016,1177,1365,1405,1410,1495,1580,1690,21,140,120,100
22,Royce,Dunne,Royce Dunne,https://profilepicsbucket.crossfit.com/dcf28-P202638_8-184.jpg,Australia,https://assets.crossfit.com/build/img/sites/games/country-flags/au.svg,CrossFit Torian,20:23.5,08:26.2,01:19.4,20:08.3,12:01.5,CAP+01,05:37.3,02:39.7,04:05.7,24:55.2,215,300,300,,07:53.0,CAP+33,08:46.3,65,5,22,53,5,36,9,7,23,48,14,4,21,37,36,31,188,137,55,188,95,176,182,134,34,135,185,100,20,25,1685,31,219,356,411,599,694,870,1052,1186,1220,1355,1540,1640,1660,1685,22,137,116,95
23,Haley,Adams,Haley Adams,https://profilepicsbucket.crossfit.com/3eaab-P671666_9-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Mayhem,11:37.8,10:22.5,01:25.7,16:53.1,12:03.3,06:57.7,CAP+09,02:04.5,04:46.6,21:36.5,161,175,266.875,00:19.6,11:10.3,CAP+13,07:27.3,12,33,37,23,6,31,66,2,39,9,33,31,29,20,13,167,104,92,134,185,110,29,197,86,168,40,50,60,105,140,1667,167,271,363,497,682,792,821,1018,1104,1272,1312,1362,1422,1527,1667,23,134,112,90
24,Mallory,O'Brien,Mallory O'Brien,https://profilepicsbucket.crossfit.com/acd6c-P1239980_11-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,Lion Brave CrossFit,12:38.5,11:00.2,01:34.6,13:41.2,12:50.6,06:29.2,06:34.1,03:13.8,05:35.5,23:14.9,209,180,274.5,00:24.3,10:58.0,CAP+04,07:30.5,18,42,64,2,31,18,32,18,59,32,17,26,25,8,16,149,77,33,197,110,149,107,149,43,82,120,75,80,165,125,1661,149,226,259,456,566,715,822,971,1014,1096,1216,1291,1371,1536,1661,24,131,108,85
25,Gabriela,Migala,Gabriela Migala,https://profilepicsbucket.crossfit.com/0430f-P764556_5-184.jpg,Poland,https://assets.crossfit.com/build/img/sites/games/country-flags/pl.svg,C23 CrossFit,16:42.6,CAP+02,01:28.2,16:26.4,11:56.9,06:12.4,05:13.8,04:45.1,04:54.2,23:04.8,161,190,289.75,00:13.9,04:44.5,CAP+32,07:46.1,49,60,42,18,3,12,5,47,44,27,33,7,4,35,24,63,41,77,149,194,167,188,67,73,97,40,170,185,30,85,1626,63,104,181,330,524,691,879,946,1019,1116,1156,1326,1511,1541,1626,25,128,104,80
26,Amanda,Barnhart,Amanda Barnhart,https://profilepicsbucket.crossfit.com/95b3d-P174547_7-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit New England,12:39.7,10:42.5,01:31.3,14:36.0,12:45.5,06:08.6,05:16.5,04:23.1,04:01.8,24:55.7,157,180,274.5,00:14.7,04:57.0,CAP+10,08:43.6,19,37,56,6,25,10,6,40,19,49,37,24,14,16,35,146,92,49,185,128,173,185,83,146,31,20,85,135,125,30,1613,146,238,287,472,600,773,958,1041,1187,1218,1238,1323,1458,1583,1613,26,125,100,75
27,Henrik,Haapalainen,Henrik Haapalainen,https://profilepicsbucket.crossfit.com/a0ba4-P680734_1-184.jpg,Finland,https://assets.crossfit.com/build/img/sites/games/country-flags/fi.svg,CrossFit Basement,12:26.8,09:05.4,01:18.7,CAP+08,12:09.9,CAP+02,06:37.6,04:05.1,04:02.7,21:54.5,162,225,225,00:15.5,04:53.4,CAP+30,07:32.0,17,13,16,66,8,57,34,34,22,17,32,39,9,30,18,152,164,155,29,179,47,101,101,137,136,45,10,160,55,115,1586,152,316,471,500,679,726,827,928,1065,1201,1246,1256,1416,1471,1586,27,122,97,70
28,Katrin Tanja,Davidsdottir,Katrin Tanja Davidsdottir,https://profilepicsbucket.crossfit.com/ee582-P55121_22-184.jpg,Iceland,https://assets.crossfit.com/build/img/sites/games/country-flags/is.svg,CrossFit New England,14:19.5,11:48.3,01:27.5,14:59.1,12:32.9,CAP+00,CAP+03,03:53.6,05:10.4,23:09.9,184,185,282.125,00:14.8,04:58.0,CAP+04,07:39.8,33,52,40,9,20,32,59,28,51,30,29,13,16,8,23,104,57,83,176,143,107,43,119,59,88,60,140,125,165,90,1559,104,161,244,420,563,670,713,832,891,979,1039,1179,1304,1469,1559,28,119,94,65
29,Danielle,Brandon,Danielle Brandon,https://profilepicsbucket.crossfit.com/568db-P349097_5-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Culmination,15:13.2,10:22.8,01:27.2,17:16.5,13:21.6,06:41.6,06:58.5,01:43.9,05:43.0,24:13.2,226,190,289.75,00:16.1,11:15.7,06:41.9,08:17.7,37,34,39,32,41,27,44,1,62,40,13,8,31,6,32,92,101,86,107,80,122,73,200,37,58,140,165,50,175,45,1531,92,193,279,386,466,588,661,861,898,956,1096,1261,1311,1486,1531,29,116,91,60
30,Jayson,Hopper,Jayson Hopper,https://profilepicsbucket.crossfit.com/83390-P1020449_7-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Simpsonville,12:56.1,11:23.5,01:17.3,20:31.5,14:19.3,CAP+01,05:59.6,CAP+07,03:47.6,21:42.2,207,270,270,00:14.3,07:51.6,CAP+31,08:08.3,22,47,7,54,60,36,16,55,8,11,21,28,19,33,29,137,67,182,53,41,95,155,51,179,160,100,65,110,40,60,1495,137,204,386,439,480,575,730,781,960,1120,1220,1285,1395,1435,1495,30,113,88,55
31,Will,Moorad,Will Moorad,https://profilepicsbucket.crossfit.com/d3cc2-P35627_6-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Trivium,17:03.7,08:42.0,01:15.6,19:46.5,12:48.0,CAP+01,CAP+03,04:19.3,04:01.7,21:31.8,207,280,280,00:13.5,CAP+07,CAP+29,08:27.2,53,9,2,49,27,36,59,39,18,7,21,18,39,29,34,55,176,197,63,122,95,43,86,149,176,100,115,10,60,35,1482,55,231,428,491,613,708,751,837,986,1162,1262,1377,1387,1447,1482,31,110,85,50
32,Emma,McQuaid,Emma McQuaid,https://profilepicsbucket.crossfit.com/0acc8-P239442_6-184.jpg,Ireland,https://assets.crossfit.com/build/img/sites/games/country-flags/ie.svg,Boundary CrossFit,20:52.0,09:29.8,01:29.5,17:29.7,13:22.3,06:15.4,06:21.8,04:42.9,05:22.1,24:25.6,208,185,282.125,00:17.9,04:57.3,CAP+08,08:08.0,67,21,47,33,42,14,24,46,54,44,18,15,15,14,28,27,140,67,104,77,161,131,69,53,46,115,130,130,135,65,1450,27,167,234,338,415,576,707,776,829,875,990,1120,1250,1385,1450,32,107,82,45
33,Emily,Rolfe,Emily Rolfe,https://profilepicsbucket.crossfit.com/22eb9-P484380_3-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Sea Level,11:27.9,CAP+03,01:29.1,17:09.5,13:26.3,CAP+01,CAP+07,04:04.6,04:56.0,21:12.7,161,170,259.25,00:17.8,11:02.6,CAP+15,09:12.9,10,65,44,27,44,36,64,33,45,2,33,36,26,22,39,173,31,73,122,73,95,33,104,71,196,40,25,75,95,10,1216,173,204,277,399,472,567,600,704,775,971,1011,1036,1111,1206,1216,33,104,79,40
34,Thuridur Erla,Helgadottir,Thuridur Erla Helgadottir,https://profilepicsbucket.crossfit.com/4641e-P19501_6-184.jpg,Iceland,https://assets.crossfit.com/build/img/sites/games/country-flags/is.svg,CrossFit Zug,17:40.4,11:53.0,01:29.6,17:09.2,12:33.9,06:34.7,CAP+01,03:18.1,06:01.6,24:10.9,184,185,282.125,00:24.6,11:20.4,CAP+20,08:12.6,56,53,48,26,22,22,53,20,66,39,29,16,32,26,31,49,55,65,125,137,137,55,143,29,61,60,125,45,75,50,1211,49,104,169,294,431,568,623,766,795,856,916,1041,1086,1161,1211,34,101,76,35
35,Emma,Cary,Emma Cary,https://profilepicsbucket.crossfit.com/e4ccc-P1547449_4-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,Perform Overcome Excel CrossFit,11:58.9,CAP+03,01:33.2,14:25.6,13:38.0,CAP+01,07:06.1,04:03.2,04:56.8,24:21.7,138,185,282.125,00:16.1,11:29.1,CAP+30,07:37.4,13,65,62,4,49,36,46,32,46,43,39,14,34,30,21,164,31,37,191,63,95,69,107,69,49,10,135,35,55,100,1210,164,195,232,423,486,581,650,757,826,875,885,1020,1055,1110,1210,35,98,73,30
36,Arielle,Loewen,Arielle Loewen,https://profilepicsbucket.crossfit.com/61499-P132258_6-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,Renewed Strength CrossFit,20:47.1,CAP+01,01:30.2,14:57.2,13:39.7,06:33.6,06:42.2,03:05.4,06:09.5,23:31.3,207,180,274.5,00:17.4,11:15.1,CAP+20,08:22.4,66,58,52,8,52,20,37,16,68,36,21,25,30,26,33,29,45,57,179,57,143,92,155,25,70,100,80,55,75,40,1202,29,74,131,310,367,510,602,757,782,852,952,1032,1087,1162,1202,36,95,70,25
37,Jacqueline,Dahlstrom,Jacqueline Dahlstrom,https://profilepicsbucket.crossfit.com/0b73b-P299053_3-184.jpg,Norway,https://assets.crossfit.com/build/img/sites/games/country-flags/no.svg,C23 CrossFit,16:31.0,11:55.9,01:29.5,19:01.9,13:03.6,06:42.4,06:58.1,CAP+05,05:26.0,23:06.5,188,175,266.875,00:14.9,05:00.9,CAP+30,07:56.2,45,54,46,43,37,28,43,54,55,29,27,30,17,30,27,71,53,69,75,92,119,75,53,51,91,70,55,120,55,70,1119,71,124,193,268,360,479,554,607,658,749,819,874,994,1049,1119,37,92,67,20
38,Emma,Tall,Emma Tall,https://profilepicsbucket.crossfit.com/9c721-P887297_2-184.jpg,Sweden,https://assets.crossfit.com/build/img/sites/games/country-flags/se.svg,CrossFit Karlstad,11:01.4,10:55.0,01:36.1,19:59.5,12:48.9,06:36.1,06:14.7,CAP+07,05:31.1,25:56.0,154,180,274.5,00:29.5,11:27.1,CAP+49,08:57.4,8,40,67,51,29,23,23,55,58,57,38,27,33,39,38,179,83,27,59,116,134,134,51,45,7,15,70,40,10,15,985,179,262,289,348,464,598,732,783,828,835,850,920,960,970,985,38,89,64,15
39,Baylee,Rayl,Baylee Rayl,https://profilepicsbucket.crossfit.com/559ed-P585046_3-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,,17:01.7,10:47.1,01:28.6,19:33.2,13:16.3,CAP+01,CAP+05,03:13.1,05:37.6,24:59.7,215,170,259.25,00:17.4,11:30.9,CAP+31,08:50.5,52,38,43,47,40,36,62,17,60,50,14,35,35,33,37,57,89,75,67,83,95,37,152,41,28,135,30,30,40,20,979,57,146,221,288,371,466,503,655,696,724,859,889,919,959,979,39,86,61,10
40,Brooke,Wells,Brooke Wells,https://profilepicsbucket.crossfit.com/43257-P168305_10-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Trivium,18:11.1,11:27.1,01:24.4,14:34.6,13:11.3,06:15.2,06:00.4,02:08.1,04:48.0,23:06.4,115,185,282.125,CAP+00,,,,58,49,35,5,38,13,17,4,41,28,40,17,0,0,0,45,63,98,188,89,164,152,191,80,94,5,120,0,0,0,1289,45,108,206,394,483,647,799,990,1070,1164,1169,1289,1289,1289,1289,40,83,58,5
41,Chandler,Smith,Chandler Smith,https://profilepicsbucket.crossfit.com/3b4a0-P469626_6-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit New England,16:52.4,09:54.3,01:20.0,17:06.7,12:46.1,CAP+01,06:37.7,04:06.5,03:39.8,23:00.4,,,,,,,,50,26,25,24,26,36,35,35,3,25,0,0,0,0,0,61,125,128,131,125,95,98,98,194,104,0,0,0,0,0,1159,61,186,314,445,570,665,763,861,1055,1159,1159,1159,1159,1159,1159,41,80,55,
42,Jay,Crouch,Jay Crouch,https://profilepicsbucket.crossfit.com/9ed21-P156156_14-184.jpg,Australia,https://assets.crossfit.com/build/img/sites/games/country-flags/au.svg,Reebok CrossFit Frankston,13:37.0,09:44.3,01:22.2,15:18.7,13:36.9,CAP+00,06:48.1,03:53.8,04:20.9,21:49.2,,,,,,,,29,25,31,13,48,32,41,29,30,14,0,0,0,0,0,116,128,110,164,65,107,80,116,113,148,0,0,0,0,0,1147,116,244,354,518,583,690,770,886,999,1147,1147,1147,1147,1147,1147,42,77,52,
43,Samuel,Cournoyer,Samuel Cournoyer,https://profilepicsbucket.crossfit.com/1313a-P327636_5-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Mayhem,13:10.5,08:09.7,01:19.3,18:36.7,13:38.8,CAP+02,07:15.7,02:19.6,04:53.7,22:11.6,,,,,,,,25,2,21,39,50,57,47,6,43,22,0,0,0,0,0,128,197,140,86,61,47,67,185,75,116,0,0,0,0,0,1102,128,325,465,551,612,659,726,911,986,1102,1102,1102,1102,1102,1102,43,75,49,
44,Uldis,Upenieks,Uldis Upenieks,https://profilepicsbucket.crossfit.com/87095-P472642_8-184.jpg,Latvia,https://assets.crossfit.com/build/img/sites/games/country-flags/lv.svg,,16:40.0,10:39.6,01:19.2,15:53.1,12:40.4,CAP+02,CAP+05,04:59.4,04:47.9,21:22.7,,,,,,,,48,36,20,16,23,57,62,49,40,5,0,0,0,0,0,65,95,143,155,134,47,37,63,83,184,0,0,0,0,0,1006,65,160,303,458,592,639,676,739,822,1006,1006,1006,1006,1006,1006,44,73,46,
45,Jason,Smith,Jason Smith,https://profilepicsbucket.crossfit.com/f2583-P120333_4-184.jpg,South Africa,https://assets.crossfit.com/build/img/sites/games/country-flags/za.svg,CrossFit Sunninghill,13:37.0,08:17.5,01:20.3,20:59.9,12:49.4,CAP+01,CAP+02,CAP+07,04:27.7,22:15.0,,,,,,,,30,4,26,58,30,36,58,55,34,23,0,0,0,0,0,113,191,125,45,113,95,45,51,101,112,0,0,0,0,0,991,113,304,429,474,587,682,727,778,879,991,991,991,991,991,991,45,71,43,
46,Brandon,Luckett,Brandon Luckett,https://profilepicsbucket.crossfit.com/19f7b-P308651_1-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit OKC,10:35.3,10:13.3,01:19.4,CAP+11,12:48.0,CAP+02,06:43.0,CAP+02,04:08.6,23:24.3,,,,,,,,4,30,24,68,28,57,39,52,25,35,0,0,0,0,0,191,113,131,25,119,47,86,57,128,73,0,0,0,0,0,970,191,304,435,460,579,626,712,769,897,970,970,970,970,970,970,46,69,40,
47,Alexandre,Caron,Alexandre Caron,https://profilepicsbucket.crossfit.com/92bcf-P251546_4-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Levis,16:13.3,08:53.5,01:18.8,CAP+04,13:59.2,CAP+01,06:43.2,CAP+16,03:45.2,23:21.6,,,,,,,,43,11,18,64,56,36,40,61,6,34,0,0,0,0,0,75,170,149,33,49,95,83,39,185,76,0,0,0,0,0,954,75,245,394,427,476,571,654,693,878,954,954,954,954,954,954,47,67,37,
48,Timothy,Paulson,Timothy Paulson,https://profilepicsbucket.crossfit.com/73e43-P20698_10-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Pallas,16:56.3,11:57.4,01:29.9,18:56.9,13:14.6,CAP+01,07:33.9,04:02.9,04:00.7,23:14.0,,,,,,,,51,56,50,42,39,36,50,31,17,31,0,0,0,0,0,59,49,61,77,86,95,61,110,152,85,0,0,0,0,0,835,59,108,169,246,332,427,488,598,750,835,835,835,835,835,835,48,65,34,
49,Luka,Dukic,Luka Dukic,https://profilepicsbucket.crossfit.com/17147-P888668_2-184.jpg,Serbia,https://assets.crossfit.com/build/img/sites/games/country-flags/rs.svg,CrossFit NS,18:35.8,09:26.8,01:17.1,CAP+10,12:58.9,CAP+02,CAP+09,CAP+41,04:13.4,23:04.7,,,,,,,,60,20,6,67,35,57,66,65,27,26,0,0,0,0,0,41,143,185,27,98,47,29,31,122,100,0,0,0,0,0,823,41,184,369,396,494,541,570,601,723,823,823,823,823,823,823,49,63,31,
50,Mekenzie,Riley,Mekenzie Riley,https://profilepicsbucket.crossfit.com/d678c-P93497_6-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Northlake,12:10.6,CAP+02,01:36.8,18:12.3,13:41.5,06:36.7,CAP+01,03:49.4,05:18.0,24:44.7,,,,,,,,15,60,69,37,53,24,53,27,53,47,0,0,0,0,0,158,41,23,92,55,131,55,122,55,37,0,0,0,0,0,769,158,199,222,314,369,500,555,677,732,769,769,769,769,769,769,50,61,28,
51,Samantha,Briggs,Samantha Briggs,https://profilepicsbucket.crossfit.com/0e63d-P2536_14-184.jpg,United Kingdom,https://assets.crossfit.com/build/img/sites/games/country-flags/gb.svg,CrossFit Black Five,16:37.7,CAP+02,01:31.8,CAP+05,12:33.3,06:53.1,CAP+09,CAP+17,04:46.5,21:37.2,,,,,,,,47,60,59,65,21,30,66,62,38,10,0,0,0,0,0,67,41,43,31,140,113,29,37,89,164,0,0,0,0,0,754,67,108,151,182,322,435,464,501,590,754,754,754,754,754,754,51,59,25,
52,Zach,Watts,Zach Watts,https://profilepicsbucket.crossfit.com/c7666-P263026_5-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Conjugate,23:12.9,CAP+04,01:23.8,CAP+20,12:51.0,CAP+01,05:47.8,CAP+08,04:02.1,26:06.9,,,,,,,,69,69,32,72,32,36,11,59,20,58,0,0,0,0,0,23,23,107,17,107,95,170,43,143,4,0,0,0,0,0,732,23,46,153,170,277,372,542,585,728,732,732,732,732,732,732,52,57,22,
53,Laura,Clifton,Laura Clifton,https://profilepicsbucket.crossfit.com/c1e01-P1018713_3-184.jpg,New Zealand,https://assets.crossfit.com/build/img/sites/games/country-flags/nz.svg,CrossFit Awaside,15:21.3,CAP+07,01:37.1,17:08.9,13:26.6,06:44.6,06:01.1,CAP+08,04:45.9,26:08.3,,,,,,,,40,71,70,25,45,29,18,59,37,59,0,0,0,0,0,83,19,21,128,71,116,149,43,92,1,0,0,0,0,0,723,83,102,123,251,322,438,587,630,722,723,723,723,723,723,723,53,55,19,
54,Alessandra,Pichelli,Alessandra Pichelli,https://profilepicsbucket.crossfit.com/a0400-P37537_14-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,Diablo CrossFit,24:00.5,CAP+00,01:31.0,20:37.7,13:59.7,06:32.7,05:50.3,04:28.5,04:51.2,25:23.9,,,,,,,,71,57,54,56,57,19,12,41,42,54,0,0,0,0,0,19,47,53,49,47,146,167,80,77,16,0,0,0,0,0,701,19,66,119,168,215,361,528,608,685,701,701,701,701,701,701,54,53,16,
55,Carolyne,Prevost,Carolyne Prevost,https://profilepicsbucket.crossfit.com/513d9-P239148_11-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Colosseum,18:04.1,11:56.2,01:32.4,19:18.7,14:41.7,06:41.4,05:57.8,04:10.2,05:26.6,25:23.6,,,,,,,,57,55,60,46,64,26,15,37,56,53,0,0,0,0,0,47,51,41,69,33,125,158,92,49,19,0,0,0,0,0,684,47,98,139,208,241,366,524,616,665,684,684,684,684,684,684,55,51,13,
